unions,orders,avg_distance
1,0.0761,0
1,0.0806,0
1,0.0782,0
1,0.0736,0
1,0.068,0
1,0.0649,0
1,0.0557,0
1,0.0512,0
1,0.0441,0
1,0.0412,0
1,0.0348,0
1,0.031,0
1,0.0258,0
1,0.016,0
1,0.0132,0
1,0.0125,0
1,0.0202,0
1,0.0251,0
1,0.0348,0
1,0.0419,0
1,0.0515,0
1,0.0582,0
1,0.0675,0
1,0.0771,0
1,0.0828,0
1,0.0916,0
1,0.0971,0
1,0.1053,0
1,0.1135,0
1,0.1176,0
1,0.1208,0
1,0.129,0
1,0.1331,0
1,0.1317,0
1,0.1337,0
1,0.1382,0
1,0.1379,0
1,0.1421,0
1,0.1419,0
1,0.1452,0
1,0.1442,0
1,0.1478,0
1,0.146,0
1,0.1465,0
1,0.1467,0
1,0.1461,0
1,0.1458,0
1,0.1441,0
1,0.1448,0
1,0.1439,0
1,0.1428,0
1,0.1399,0
1,0.1409,0
1,0.1378,0
1,0.1368,0
1,0.1338,0
1,0.1336,0
1,0.1306,0
1,0.1304,0
1,0.1301,0
1,0.1277,0
1,0.1274,0
1,0.125,0
1,0.1244,0
1,0.1215,0
1,0.1207,0
1,0.118,0
1,0.1173,0
1,0.1146,0
1,0.1139,0
1,0.1107,0
1,0.106,0
1,0.1022,0
1,0.0973,0
1,0.095,0
1,0.0904,0
1,0.0872,0
1,0.0828,0
1,0.079,0
1,0.0733,0
1,0.0687,0
1,0.065,0
1,0.0618,0
1,0.0568,0
1,0.0561,0
1,0.054,0
1,0.0512,0
1,0.0506,0
1,0.0481,0
1,0.0479,0
1,0.0435,0
1,0.0455,0
1,0.0417,0
1,0.0441,0
1,0.0406,0
1,0.0405,0
1,0.0378,0
1,0.037,0
1,0.0358,0
1,0.0363,0
1,0.0355,0
1,0.0375,0
1,0.0374,0
1,0.0372,0
1,0.0383,0
1,0.0422,0
1,0.0412,0
1,0.0437,0
1,0.0454,0
1,0.0488,0
1,0.0487,0
1,0.0502,0
1,0.0517,0
1,0.0552,0
1,0.0549,0
1,0.0564,0
1,0.0579,0
1,0.0613,0
1,0.0614,0
1,0.0616,0
1,0.0639,0
1,0.0671,0
1,0.0648,0
1,0.0718,0
1,0.0733,0
1,0.0742,0
1,0.0799,0
1,0.078,0
1,0.0801,0
1,0.0827,0
1,0.0856,0
1,0.0839,0
1,0.0907,0
1,0.0894,0
1,0.0964,0
1,0.0952,0
1,0.0973,0
1,0.1002,0
1,0.0992,0
1,0.1058,0
1,0.1056,0
1,0.1121,0
1,0.1124,0
1,0.1156,0
1,0.1193,0
1,0.1224,0
1,0.1265,0
1,0.1299,0
1,0.1335,0
1,0.1372,0
1,0.1435,0
1,0.1471,0
1,0.1493,0
1,0.1559,0
1,0.1608,0
1,0.1655,0
1,0.1703,0
1,0.1752,0
1,0.1795,0
1,0.1834,0
1,0.187,0
1,0.1902,0
1,0.191,0
1,0.1953,0
1,0.1975,0
1,0.1991,0
1,0.2003,0
1,0.201,0
1,0.2012,0
1,0.1992,0
1,0.1999,0
1,0.197,0
1,0.1964,0
1,0.1923,0
1,0.1895,0
1,0.1837,0
1,0.1808,0
1,0.176,0
1,0.1721,0
1,0.169,0
1,0.1656,0
1,0.1628,0
1,0.1613,0
1,0.1571,0
1,0.1546,0
1,0.1504,0
1,0.1494,0
1,0.1474,0
1,0.1455,0
1,0.1448,0
1,0.145,0
1,0.1448,0
1,0.1476,0
1,0.149,0
1,0.1533,0
1,0.1557,0
1,0.1589,0
1,0.1634,0
1,0.1694,0
1,0.1724,0
1,0.1757,0
1,0.1802,0
1,0.1861,0
1,0.1884,0
1,0.1918,0
1,0.196,0
1,0.2018,0
1,0.2038,0
1,0.2067,0
1,0.2106,0
1,0.2117,0
1,0.2162,0
1,0.2185,0
1,0.2206,0
1,0.2201,0
1,0.2232,0
1,0.2231,0
1,0.2265,0
1,0.2267,0
1,0.2299,0
1,0.2299,0
1,0.2322,0
1,0.2347,0
1,0.2377,0
1,0.2405,0
1,0.244,0
1,0.2473,0
1,0.2509,0
1,0.2537,0
1,0.2552,0
1,0.2583,0
1,0.2589,0
1,0.2609,0
1,0.2606,0
1,0.2597,0
1,0.2603,0
1,0.2598,0
1,0.2599,0
1,0.2592,0
1,0.2589,0
1,0.2594,0
1,0.259,0
1,0.2591,0
1,0.2591,0
1,0.2592,0
1,0.26,0
1,0.2607,0
1,0.2624,0
1,0.2641,0
1,0.2663,0
1,0.2685,0
1,0.2713,0
1,0.274,0
1,0.2773,0
1,0.281,0
1,0.284,0
1,0.2874,0
1,0.2896,0
1,0.2916,0
1,0.2934,0
1,0.2969,0
1,0.2996,0
1,0.3022,0
1,0.3051,0
1,0.3071,0
1,0.3086,0
1,0.3089,0
1,0.3096,0
1,0.3102,0
1,0.3093,0
1,0.3086,0
1,0.306,0
1,0.3027,0
1,0.2988,0
1,0.2952,0
1,0.2909,0
1,0.2852,0
1,0.2793,0
1,0.2734,0
1,0.2669,0
1,0.2613,0
1,0.2558,0
1,0.251,0
1,0.246,0
1,0.2411,0
1,0.2355,0
1,0.2309,0
1,0.2262,0
1,0.2214,0
1,0.2165,0
1,0.2118,0
1,0.2084,0
1,0.2048,0
1,0.2027,0
1,0.1992,0
1,0.1969,0
1,0.1944,0
1,0.1934,0
1,0.1922,0
1,0.1923,0
1,0.1918,0
1,0.1924,0
1,0.1916,0
1,0.1913,0
1,0.1899,0
1,0.1892,0
1,0.1872,0
1,0.1862,0
1,0.1848,0
1,0.1848,0
1,0.1844,0
1,0.1849,0
1,0.1845,0
1,0.185,0
1,0.1848,0
1,0.1855,0
1,0.1855,0
1,0.1861,0
1,0.185,0
1,0.1843,0
1,0.1828,0
1,0.1821,0
1,0.1808,0
1,0.1801,0
1,0.1754,0
1,0.1773,0
1,0.1768,0
1,0.1717,0
1,0.1709,0
1,0.1709,0
1,0.1714,0
1,0.1671,0
1,0.1715,0
1,0.1683,0
1,0.1736,0
1,0.1716,0
1,0.1733,0
1,0.1754,0
1,0.1816,0
1,0.1788,0
1,0.1782,0
1,0.1775,0
1,0.1764,0
1,0.1749,0
1,0.1735,0
1,0.1719,0
1,0.1695,0
1,0.1669,0
1,0.1644,0
1,0.1581,0
1,0.1556,0
1,0.1544,0
1,0.1584,0
1,0.1554,0
1,0.1602,0
1,0.158,0
1,0.1627,0
1,0.1599,0
1,0.1598,0
1,0.1598,0
1,0.1594,0
1,0.1593,0
1,0.1589,0
1,0.1547,0
